Date: 2010-03-17, Open: 5198.45, High: 5260.5, Low: 5177.15, SMA20: 5022.94, SMA50: 5028.95, RSI14: 91.46, Return: 0.65%, Output: Up
Date: 2010-04-08, Open: 5376.3, High: 5383.65, Low: 5290.25, SMA20: 5247.28, SMA50: 5042.51, RSI14: 58.24, Return: -1.31%, Output: Up
Date: 2010-04-09, Open: 5302.4, High: 5377.45, Low: 5302.25, SMA20: 5259.55, SMA50: 5049.03, RSI14: 61.97, Return: 1.08%, Output: Down
Date: 2010-04-12, Open: 5354.15, High: 5382.15, Low: 5324.9, SMA20: 5269.87, SMA50: 5055.66, RSI14: 57.86, Return: -0.41%, Output: Down
Date: 2010-04-13, Open: 5340.85, High: 5356.5, Low: 5301.7, SMA20: 5279.17, SMA50: 5065.06, RSI14: 63.14, Return: -0.31%, Output: Down
Date: 2010-04-15, Open: 5323.3, High: 5373.15, Low: 5265.3, SMA20: 5286.4, SMA50: 5073.19, RSI14: 55.06, Return: -0.93%, Output: Down
Date: 2010-04-16, Open: 5273.4, High: 5283.05, Low: 5237.55, SMA20: 5289.63, SMA50: 5080.8, RSI14: 50.24, Return: -0.21%, Output: Down
Date: 2010-04-19, Open: 5279.05, High: 5279.05, Low: 5160.9, SMA20: 5288.21, SMA50: 5086.88, RSI14: 42.01, Return: -1.12%, Output: Up
Date: 2010-04-20, Open: 5208.3, High: 5257.25, Low: 5208.3, SMA20: 5287.42, SMA50: 5094.88, RSI14: 42.67, Return: 0.51%, Output: Up
Date: 2010-04-21, Open: 5230.3, High: 5266.3, Low: 5230.3, SMA20: 5286.53, SMA50: 5101.14, RSI14: 48.14, Return: 0.28%, Output: Up
Date: 2010-04-22, Open: 5248.6, High: 5331.8, Low: 5221.1, SMA20: 5289.74, SMA50: 5109.62, RSI14: 52.1, Return: 0.47%, Output: Up
Date: 2010-04-23, Open: 5269.65, High: 5311.05, Low: 5269.65, SMA20: 5293.68, SMA50: 5121.33, RSI14: 51.43, Return: 0.66%, Output: Up
Date: 2010-04-26, Open: 5299.35, High: 5342.35, Low: 5299.35, SMA20: 5296.78, SMA50: 5132.57, RSI14: 44.47, Return: 0.35%, Output: Down
Date: 2010-04-27, Open: 5322.1, High: 5330.55, Low: 5301.4, SMA20: 5298.1, SMA50: 5142.88, RSI14: 43.25, Return: -0.26%, Output: Down
Date: 2010-04-28, Open: 5308.2, High: 5308.25, Low: 5202.45, SMA20: 5293.73, SMA50: 5152.05, RSI14: 34.43, Return: -1.75%, Output: Up
Date: 2010-04-29, Open: 5215.25, High: 5264.75, Low: 5214.8, SMA20: 5293.31, SMA50: 5160.59, RSI14: 44.76, Return: 0.74%, Output: Up
Date: 2010-04-30, Open: 5254.2, High: 5294.8, Low: 5254.2, SMA20: 5294.76, SMA50: 5170.11, RSI14: 40.62, Return: 0.45%, Output: Down
Date: 2010-05-03, Open: 5278.4, High: 5278.7, Low: 5210.05, SMA20: 5291.37, SMA50: 5177.45, RSI14: 37.81, Return: -1.05%, Output: Down
Date: 2010-05-04, Open: 5223.9, High: 5250.15, Low: 5134.85, SMA20: 5280.37, SMA50: 5182.14, RSI14: 33.76, Return: -1.42%, Output: Down
Date: 2010-05-05, Open: 5148.35, High: 5148.35, Low: 5056.5, SMA20: 5268.32, SMA50: 5186.89, RSI14: 35.46, Return: -0.46%, Output: Down
Date: 2010-05-06, Open: 5124.4, High: 5124.9, Low: 5037.75, SMA20: 5254.13, SMA50: 5191.81, RSI14: 33.93, Return: -0.66%, Output: Down
Date: 2010-05-07, Open: 5072.3, High: 5085.65, Low: 4984.6, SMA20: 5239.81, SMA50: 5195.04, RSI14: 33.07, Return: -1.43%, Output: Up
Date: 2010-05-10, Open: 5026.6, High: 5203.3, Low: 5026.6, SMA20: 5231.4, SMA50: 5201.51, RSI14: 47.38, Return: 3.5%, Output: Down
Date: 2010-05-11, Open: 5189.75, High: 5206.7, Low: 5126.5, SMA20: 5221.22, SMA50: 5207.06, RSI14: 42.65, Return: -1.11%, Output: Up
Date: 2010-05-12, Open: 5133.75, High: 5172.85, Low: 5098.8, SMA20: 5212.91, SMA50: 5213.0, RSI14: 42.34, Return: 0.4%, Output: Up
Date: 2010-05-13, Open: 5157.55, High: 5212.7, Low: 5147.95, SMA20: 5208.17, SMA50: 5218.13, RSI14: 41.35, Return: 0.43%, Output: Down
Date: 2010-05-14, Open: 5180.55, High: 5192.75, Low: 5070.95, SMA20: 5199.72, SMA50: 5219.66, RSI14: 35.52, Return: -1.65%, Output: Down
Date: 2010-05-17, Open: 5093.9, High: 5094.55, Low: 4966.25, SMA20: 5192.53, SMA50: 5219.1, RSI14: 34.67, Return: -0.66%, Output: Up
Date: 2010-05-18, Open: 5059.55, High: 5105.2, Low: 5024.25, SMA20: 5184.34, SMA50: 5218.82, RSI14: 39.69, Return: 0.12%, Output: Down
Date: 2010-05-19, Open: 5065.1, High: 5065.1, Low: 4908.15, SMA20: 5168.07, SMA50: 5215.44, RSI14: 29.88, Return: -2.89%, Output: Up
Date: 2010-05-20, Open: 4924.3, High: 4980.25, Low: 4924.3, SMA20: 5151.99, SMA50: 5211.91, RSI14: 30.23, Return: 0.57%, Output: Down
Date: 2010-05-21, Open: 4946.7, High: 4946.7, Low: 4842.3, SMA20: 5133.34, SMA50: 5208.5, RSI14: 31.7, Return: -0.33%, Output: Up
Date: 2010-05-24, Open: 4944.3, High: 5029.55, Low: 4923.45, SMA20: 5114.41, SMA50: 5205.05, RSI14: 36.09, Return: 0.26%, Output: Down
Date: 2010-05-25, Open: 4945.3, High: 4946.6, Low: 4786.45, SMA20: 5089.33, SMA50: 5198.52, RSI14: 31.26, Return: -2.78%, Output: Up
Date: 2010-05-26, Open: 4807.3, High: 4925.45, Low: 4807.3, SMA20: 5074.43, SMA50: 5194.13, RSI14: 40.63, Return: 2.3%, Output: Up
Date: 2010-05-27, Open: 4915.15, High: 5016.6, Low: 4897.6, SMA20: 5061.88, SMA50: 5191.61, RSI14: 49.2, Return: 1.74%, Output: Up
Date: 2010-05-28, Open: 5005.6, High: 5077.25, Low: 5005.6, SMA20: 5051.3, SMA50: 5188.98, RSI14: 42.31, Return: 1.27%, Output: Up
Date: 2010-05-31, Open: 5076.1, High: 5097.6, Low: 5038.55, SMA20: 5044.48, SMA50: 5186.07, RSI14: 46.84, Return: 0.39%, Output: Down
Date: 2010-06-01, Open: 5086.25, High: 5086.95, Low: 4961.05, SMA20: 5035.57, SMA50: 5180.56, RSI14: 39.46, Return: -2.28%, Output: Up
Date: 2010-06-02, Open: 4970.75, High: 5031.2, Low: 4967.05, SMA20: 5030.31, SMA50: 5175.7, RSI14: 41.28, Return: 1.0%, Output: Up
Date: 2010-06-03, Open: 5020.15, High: 5125.7, Low: 5020.15, SMA20: 5031.3, SMA50: 5173.8, RSI14: 50.93, Return: 1.81%, Output: Up
Date: 2010-06-04, Open: 5112.6, High: 5147.9, Low: 5091.6, SMA20: 5037.17, SMA50: 5172.01, RSI14: 54.16, Return: 0.49%, Output: Down
Date: 2010-06-07, Open: 5132.95, High: 5132.95, Low: 5004.25, SMA20: 5029.19, SMA50: 5167.48, RSI14: 48.4, Return: -1.98%, Output: Down
Date: 2010-06-08, Open: 5036.7, High: 5071.35, Low: 4967.3, SMA20: 5021.74, SMA50: 5161.58, RSI14: 53.73, Return: -0.93%, Output: Up
Date: 2010-06-09, Open: 4985.05, High: 5050.6, Low: 4980.1, SMA20: 5013.92, SMA50: 5155.53, RSI14: 52.96, Return: 0.26%, Output: Up
Date: 2010-06-10, Open: 4999.6, High: 5085.2, Low: 4997.6, SMA20: 5008.91, SMA50: 5151.85, RSI14: 57.75, Return: 1.57%, Output: Up
Date: 2010-06-11, Open: 5078.75, High: 5139.05, Low: 5078.75, SMA20: 5010.2, SMA50: 5149.26, RSI14: 58.96, Return: 0.8%, Output: Up
Date: 2010-06-14, Open: 5120.15, High: 5201.25, Low: 5120.15, SMA20: 5017.09, SMA50: 5147.4, RSI14: 71.25, Return: 1.53%, Output: Up
Date: 2010-06-15, Open: 5201.3, High: 5231.45, Low: 5171.05, SMA20: 5024.9, SMA50: 5144.48, RSI14: 68.28, Return: 0.47%, Output: Up
Date: 2010-06-16, Open: 5225.05, High: 5255.65, Low: 5214.9, SMA20: 5040.58, SMA50: 5141.83, RSI14: 65.16, Return: 0.21%, Output: Up
Date: 2010-06-17, Open: 5233.65, High: 5285.55, Low: 5206.55, SMA20: 5056.94, SMA50: 5139.83, RSI14: 64.13, Return: 0.79%, Output: Down
Date: 2010-06-18, Open: 5274.95, High: 5302.3, Low: 5245.5, SMA20: 5073.52, SMA50: 5139.0, RSI14: 62.08, Return: -0.23%, Output: Up
Date: 2010-06-21, Open: 5266.5, High: 5366.75, Low: 5266.5, SMA20: 5093.98, SMA50: 5138.83, RSI14: 77.19, Return: 1.72%, Output: Down
Date: 2010-06-22, Open: 5353.95, High: 5354.35, Low: 5311.05, SMA20: 5119.47, SMA50: 5138.36, RSI14: 71.45, Return: -0.69%, Output: Up
Date: 2010-06-23, Open: 5316.15, High: 5333.3, Low: 5288.15, SMA20: 5139.76, SMA50: 5138.37, RSI14: 67.5, Return: 0.12%, Output: Down
Date: 2010-06-24, Open: 5323.25, High: 5348.3, Low: 5284.55, SMA20: 5155.64, SMA50: 5139.31, RSI14: 65.82, Return: -0.05%, Output: Down
Date: 2010-06-25, Open: 5320.5, High: 5320.5, Low: 5259.9, SMA20: 5165.76, SMA50: 5139.44, RSI14: 71.97, Return: -0.97%, Output: Up
Date: 2010-06-28, Open: 5271.1, High: 5339.45, Low: 5270.75, SMA20: 5178.12, SMA50: 5142.03, RSI14: 81.34, Return: 1.22%, Output: Down
Date: 2010-06-29, Open: 5333.55, High: 5334.15, Low: 5235.8, SMA20: 5192.42, SMA50: 5142.55, RSI14: 70.74, Return: -1.45%, Output: Up
Date: 2010-06-30, Open: 5254.25, High: 5320.35, Low: 5210.0, SMA20: 5207.05, SMA50: 5143.91, RSI14: 69.66, Return: 1.07%, Output: Down
Date: 2010-07-01, Open: 5312.05, High: 5312.55, Low: 5232.1, SMA20: 5214.09, SMA50: 5143.55, RSI14: 60.73, Return: -1.15%, Output: Down
Date: 2010-07-02, Open: 5251.25, High: 5277.25, Low: 5225.6, SMA20: 5219.18, SMA50: 5142.21, RSI14: 53.57, Return: -0.27%, Output: Down
Date: 2010-07-05, Open: 5237.0, High: 5252.75, Low: 5225.85, SMA20: 5229.27, SMA50: 5140.48, RSI14: 51.28, Return: -0.02%, Output: Up
Date: 2010-07-06, Open: 5236.1, High: 5297.45, Low: 5231.5, SMA20: 5244.37, SMA50: 5140.09, RSI14: 54.89, Return: 1.02%, Output: Down
Date: 2010-07-07, Open: 5293.1, High: 5296.75, Low: 5233.45, SMA20: 5256.41, SMA50: 5140.6, RSI14: 47.07, Return: -0.91%, Output: Up
Date: 2010-07-08, Open: 5242.0, High: 5320.5, Low: 5242.0, SMA20: 5267.32, SMA50: 5141.46, RSI14: 52.76, Return: 1.06%, Output: Up
Date: 2010-07-09, Open: 5297.2, High: 5359.05, Low: 5297.2, SMA20: 5278.98, SMA50: 5142.95, RSI14: 49.93, Return: 1.05%, Output: Up
Date: 2010-07-12, Open: 5352.25, High: 5402.7, Low: 5351.6, SMA20: 5288.24, SMA50: 5146.15, RSI14: 55.74, Return: 0.57%, Output: Up
Date: 2010-07-13, Open: 5370.2, High: 5406.2, Low: 5357.85, SMA20: 5297.15, SMA50: 5151.19, RSI14: 56.57, Return: 0.33%, Output: Down
Date: 2010-07-14, Open: 5402.0, High: 5453.45, Low: 5371.7, SMA20: 5304.79, SMA50: 5156.42, RSI14: 55.45, Return: -0.27%, Output: Down
Date: 2010-07-15, Open: 5387.1, High: 5399.2, Low: 5360.6, SMA20: 5309.99, SMA50: 5162.18, RSI14: 59.84, Return: -0.14%, Output: Up
Date: 2010-07-16, Open: 5376.65, High: 5401.35, Low: 5374.4, SMA20: 5316.55, SMA50: 5169.69, RSI14: 55.94, Return: 0.28%, Output: Down
Date: 2010-07-19, Open: 5392.7, High: 5409.1, Low: 5361.5, SMA20: 5318.21, SMA50: 5173.55, RSI14: 64.87, Return: -0.14%, Output: Down
Date: 2010-07-20, Open: 5387.0, High: 5416.45, Low: 5353.6, SMA20: 5320.78, SMA50: 5178.19, RSI14: 56.93, Return: -0.34%, Output: Up
Date: 2010-07-21, Open: 5368.85, High: 5409.1, Low: 5368.85, SMA20: 5324.59, SMA50: 5183.04, RSI14: 69.97, Return: 0.58%, Output: Up
Date: 2010-07-22, Open: 5399.15, High: 5447.15, Low: 5372.2, SMA20: 5330.66, SMA50: 5188.3, RSI14: 75.69, Return: 0.79%, Output: Up
Date: 2010-07-23, Open: 5441.9, High: 5477.5, Low: 5435.15, SMA20: 5339.67, SMA50: 5195.42, RSI14: 76.34, Return: 0.13%, Output: Down
Date: 2010-07-26, Open: 5446.55, High: 5466.25, Low: 5409.2, SMA20: 5343.92, SMA50: 5202.59, RSI14: 66.95, Return: -0.56%, Output: Up
Date: 2010-07-27, Open: 5420.2, High: 5450.95, Low: 5407.2, SMA20: 5352.64, SMA50: 5209.88, RSI14: 77.38, Return: 0.22%, Output: Down
Date: 2010-07-28, Open: 5436.1, High: 5447.85, Low: 5386.25, SMA20: 5356.9, SMA50: 5219.44, RSI14: 65.57, Return: -0.61%, Output: Up
Date: 2010-07-29, Open: 5397.85, High: 5415.85, Low: 5381.55, SMA20: 5364.77, SMA50: 5228.66, RSI14: 60.11, Return: 0.21%, Output: Down
Date: 2010-07-30, Open: 5408.4, High: 5413.25, Low: 5349.2, SMA20: 5371.3, SMA50: 5237.39, RSI14: 47.34, Return: -0.76%, Output: Up
Date: 2010-08-02, Open: 5369.55, High: 5438.85, Low: 5351.3, SMA20: 5381.08, SMA50: 5247.14, RSI14: 54.61, Return: 1.19%, Output: Up
Date: 2010-08-03, Open: 5432.5, High: 5459.2, Low: 5426.4, SMA20: 5388.61, SMA50: 5259.8, RSI14: 58.1, Return: 0.15%, Output: Up
Date: 2010-08-04, Open: 5441.35, High: 5481.9, Low: 5428.4, SMA20: 5399.95, SMA50: 5270.81, RSI14: 62.71, Return: 0.52%, Output: Down
Date: 2010-08-05, Open: 5470.15, High: 5487.15, Low: 5443.1, SMA20: 5407.46, SMA50: 5279.69, RSI14: 57.47, Return: -0.38%, Output: Down
Date: 2010-08-06, Open: 5448.25, High: 5471.9, Low: 5431.35, SMA20: 5411.8, SMA50: 5287.14, RSI14: 57.4, Return: -0.14%, Output: Up
Date: 2010-08-09, Open: 5439.8, High: 5492.3, Low: 5433.25, SMA20: 5416.96, SMA50: 5295.14, RSI14: 65.34, Return: 0.86%, Output: Down
Date: 2010-08-10, Open: 5486.8, High: 5491.45, Low: 5445.35, SMA20: 5419.96, SMA50: 5304.95, RSI14: 58.09, Return: -0.46%, Output: Down
Date: 2010-08-11, Open: 5460.7, High: 5474.6, Low: 5412.0, SMA20: 5421.68, SMA50: 5312.97, RSI14: 47.17, Return: -0.73%, Output: Down
Date: 2010-08-12, Open: 5418.7, High: 5431.1, Low: 5372.45, SMA20: 5423.57, SMA50: 5319.08, RSI14: 45.63, Return: -0.08%, Output: Up
Date: 2010-08-13, Open: 5420.65, High: 5476.5, Low: 5415.5, SMA20: 5426.48, SMA50: 5325.42, RSI14: 54.42, Return: 0.66%, Output: Down
Date: 2010-08-16, Open: 5452.1, High: 5465.25, Low: 5397.4, SMA20: 5428.07, SMA50: 5333.1, RSI14: 48.46, Return: -0.62%, Output: Down
Date: 2010-08-17, Open: 5422.15, High: 5443.55, Low: 5408.8, SMA20: 5430.38, SMA50: 5341.64, RSI14: 52.23, Return: -0.08%, Output: Up
Date: 2010-08-18, Open: 5416.25, High: 5487.95, Low: 5416.25, SMA20: 5434.37, SMA50: 5351.22, RSI14: 58.26, Return: 1.2%, Output: Up
Date: 2010-08-19, Open: 5478.25, High: 5544.7, Low: 5478.1, SMA20: 5439.28, SMA50: 5360.45, RSI14: 69.39, Return: 1.11%, Output: Down
Date: 2010-08-20, Open: 5540.8, High: 5546.6, Low: 5513.35, SMA20: 5443.36, SMA50: 5368.68, RSI14: 62.67, Return: -0.17%, Output: Up
Date: 2010-08-23, Open: 5531.15, High: 5549.8, Low: 5519.4, SMA20: 5449.6, SMA50: 5375.59, RSI14: 63.14, Return: 0.23%, Output: Down
Date: 2010-08-24, Open: 5541.1, High: 5547.25, Low: 5488.45, SMA20: 5453.32, SMA50: 5381.25, RSI14: 54.59, Return: -0.69%, Output: Down
Date: 2010-08-25, Open: 5505.3, High: 5506.15, Low: 5452.55, SMA20: 5456.57, SMA50: 5385.83, RSI14: 51.78, Return: -0.78%, Output: Up
Date: 2010-08-26, Open: 5462.1, High: 5486.55, Low: 5454.7, SMA20: 5460.02, SMA50: 5389.89, RSI14: 54.44, Return: 0.28%, Output: Down
Date: 2010-08-27, Open: 5489.6, High: 5495.2, Low: 5391.95, SMA20: 5462.07, SMA50: 5392.81, RSI14: 41.54, Return: -1.26%, Output: Up
Date: 2010-08-30, Open: 5408.9, High: 5469.0, Low: 5390.35, SMA20: 5461.26, SMA50: 5394.06, RSI14: 44.85, Return: 0.12%, Output: Down
Date: 2010-08-31, Open: 5413.55, High: 5413.9, Low: 5348.9, SMA20: 5459.4, SMA50: 5395.77, RSI14: 47.79, Return: -0.24%, Output: Up
Date: 2010-09-01, Open: 5403.05, High: 5478.6, Low: 5403.05, SMA20: 5459.6, SMA50: 5398.75, RSI14: 55.8, Return: 1.29%, Output: Up
Date: 2010-09-02, Open: 5471.9, High: 5513.95, Low: 5471.85, SMA20: 5461.56, SMA50: 5402.06, RSI14: 53.73, Return: 0.26%, Output: Down
Date: 2010-09-03, Open: 5486.3, High: 5510.4, Low: 5473.65, SMA20: 5463.56, SMA50: 5406.26, RSI14: 57.12, Return: -0.12%, Output: Up
Date: 2010-09-06, Open: 5479.55, High: 5589.4, Low: 5479.55, SMA20: 5468.1, SMA50: 5411.13, RSI14: 65.59, Return: 1.78%, Output: Up
Date: 2010-09-07, Open: 5575.9, High: 5625.5, Low: 5571.65, SMA20: 5475.27, SMA50: 5418.09, RSI14: 62.89, Return: 0.49%, Output: Up
Date: 2010-09-08, Open: 5604.25, High: 5625.3, Low: 5567.75, SMA20: 5484.63, SMA50: 5424.0, RSI14: 57.92, Return: 0.07%, Output: Up
Date: 2010-09-09, Open: 5608.3, High: 5647.45, Low: 5608.1, SMA20: 5495.81, SMA50: 5431.77, RSI14: 62.16, Return: 0.57%, Output: Up
Date: 2010-09-13, Open: 5639.2, High: 5770.6, Low: 5639.2, SMA20: 5511.21, SMA50: 5442.23, RSI14: 69.44, Return: 2.13%, Output: Up
Date: 2010-09-14, Open: 5760.3, High: 5838.45, Low: 5760.3, SMA20: 5530.07, SMA50: 5453.42, RSI14: 76.22, Return: 0.62%, Output: Up
Date: 2010-09-15, Open: 5795.25, High: 5869.45, Low: 5792.2, SMA20: 5552.41, SMA50: 5464.86, RSI14: 84.56, Return: 1.13%, Output: Down
Date: 2010-09-16, Open: 5861.1, High: 5901.65, Low: 5815.8, SMA20: 5569.89, SMA50: 5476.61, RSI14: 79.56, Return: -0.55%, Output: Up
Date: 2010-09-17, Open: 5828.7, High: 5898.4, Low: 5828.7, SMA20: 5587.12, SMA50: 5488.37, RSI14: 91.03, Return: 0.97%, Output: Up
Date: 2010-09-20, Open: 5885.05, High: 5989.5, Low: 5885.05, SMA20: 5609.61, SMA50: 5500.93, RSI14: 92.22, Return: 1.62%, Output: Up
Date: 2010-09-21, Open: 5980.5, High: 6032.8, Low: 5961.85, SMA20: 5632.89, SMA50: 5513.45, RSI14: 94.3, Return: 0.48%, Output: Down
Date: 2010-09-22, Open: 6008.4, High: 6037.4, Low: 5946.45, SMA20: 5657.19, SMA50: 5525.26, RSI14: 90.99, Return: -0.3%, Output: Down
Date: 2010-09-23, Open: 5991.05, High: 6006.8, Low: 5932.4, SMA20: 5682.05, SMA50: 5536.73, RSI14: 86.39, Return: -0.52%, Output: Up
Date: 2010-09-24, Open: 5959.45, High: 6029.1, Low: 5951.2, SMA20: 5709.07, SMA50: 5549.52, RSI14: 88.36, Return: 0.99%, Output: Up
Date: 2010-09-27, Open: 6018.3, High: 6073.5, Low: 6018.3, SMA20: 5740.41, SMA50: 5562.36, RSI14: 86.86, Return: 0.29%, Output: Down
Date: 2010-09-28, Open: 6036.05, High: 6049.8, Low: 5991.3, SMA20: 5771.11, SMA50: 5575.22, RSI14: 85.38, Return: -0.1%, Output: Down
Date: 2010-09-29, Open: 6029.15, High: 6071.55, Low: 5979.65, SMA20: 5800.56, SMA50: 5587.68, RSI14: 80.16, Return: -0.63%, Output: Up
Date: 2010-09-30, Open: 5991.35, High: 6048.45, Low: 5963.6, SMA20: 5828.46, SMA50: 5600.29, RSI14: 80.36, Return: 0.65%, Output: Up
Date: 2010-10-01, Open: 6030.3, High: 6153.1, Low: 6030.3, SMA20: 5861.33, SMA50: 5614.32, RSI14: 80.16, Return: 1.88%, Output: Up
Date: 2010-10-04, Open: 6144.7, High: 6222.1, Low: 6144.7, SMA20: 5895.33, SMA50: 5628.53, RSI14: 79.53, Return: 0.26%, Output: Down
Date: 2010-10-05, Open: 6159.45, High: 6188.35, Low: 6118.05, SMA20: 5923.77, SMA50: 5643.07, RSI14: 75.24, Return: -0.22%, Output: Up
Date: 2010-10-06, Open: 6150.95, High: 6223.4, Low: 6148.6, SMA20: 5952.89, SMA50: 5658.19, RSI14: 81.23, Return: 0.66%, Output: Down
Date: 2010-10-07, Open: 6186.85, High: 6199.45, Low: 6107.5, SMA20: 5978.52, SMA50: 5672.65, RSI14: 70.2, Return: -1.07%, Output: Down
Date: 2010-10-08, Open: 6121.4, High: 6148.6, Low: 6067.0, SMA20: 6001.69, SMA50: 5686.54, RSI14: 62.2, Return: -0.28%, Output: Up
Date: 2010-10-11, Open: 6105.95, High: 6187.75, Low: 6105.95, SMA20: 6020.48, SMA50: 5701.9, RSI14: 62.49, Return: 0.53%, Output: Down
Date: 2010-10-12, Open: 6135.95, High: 6144.95, Low: 6057.95, SMA20: 6035.25, SMA50: 5715.09, RSI14: 59.34, Return: -0.73%, Output: Up
Date: 2010-10-13, Open: 6091.45, High: 6240.25, Low: 6089.75, SMA20: 6053.89, SMA50: 5730.97, RSI14: 71.23, Return: 2.35%, Output: Down
Date: 2010-10-14, Open: 6234.3, High: 6284.1, Low: 6157.9, SMA20: 6071.33, SMA50: 5745.16, RSI14: 62.35, Return: -0.91%, Output: Down
Date: 2010-10-15, Open: 6175.9, High: 6200.6, Low: 6050.35, SMA20: 6080.21, SMA50: 5757.48, RSI14: 51.82, Return: -1.86%, Output: Up
Date: 2010-10-18, Open: 6112.75, High: 6115.1, Low: 5985.1, SMA20: 6084.99, SMA50: 5770.21, RSI14: 53.1, Return: 0.22%, Output: Down
Date: 2010-10-19, Open: 6114.45, High: 6127.05, Low: 6008.15, SMA20: 6085.9, SMA50: 5781.03, RSI14: 52.37, Return: -0.8%, Output: Down
Date: 2010-10-20, Open: 6002.95, High: 6038.1, Low: 5966.75, SMA20: 6085.45, SMA50: 5791.46, RSI14: 46.87, Return: -0.75%, Output: Up
Date: 2010-10-21, Open: 6008.9, High: 6113.5, Low: 5984.9, SMA20: 6092.55, SMA50: 5805.08, RSI14: 47.28, Return: 2.0%, Output: Down
Date: 2010-10-22, Open: 6113.4, High: 6121.1, Low: 6041.35, SMA20: 6094.94, SMA50: 5818.07, RSI14: 44.1, Return: -0.58%, Output: Up
Date: 2010-10-25, Open: 6101.25, High: 6151.3, Low: 6094.6, SMA20: 6098.45, SMA50: 5831.14, RSI14: 47.55, Return: 0.66%, Output: Down
Date: 2010-10-26, Open: 6116.3, High: 6120.25, Low: 6074.65, SMA20: 6101.07, SMA50: 5844.42, RSI14: 43.47, Return: -0.39%, Output: Down
Date: 2010-10-27, Open: 6075.45, High: 6075.95, Low: 5987.55, SMA20: 6102.14, SMA50: 5856.39, RSI14: 43.3, Return: -1.14%, Output: Down
Date: 2010-10-28, Open: 6039.95, High: 6071.1, Low: 5968.1, SMA20: 6100.03, SMA50: 5866.56, RSI14: 42.87, Return: -0.41%, Output: Up
Date: 2010-10-29, Open: 6021.15, High: 6032.65, Low: 5937.1, SMA20: 6093.74, SMA50: 5876.11, RSI14: 42.7, Return: 0.5%, Output: Up
Date: 2010-11-01, Open: 6092.3, High: 6132.4, Low: 6084.75, SMA20: 6091.65, SMA50: 5887.85, RSI14: 51.54, Return: 1.66%, Output: Up
Date: 2010-11-02, Open: 6127.55, High: 6138.1, Low: 6094.4, SMA20: 6090.31, SMA50: 5899.36, RSI14: 42.05, Return: 0.02%, Output: Up
Date: 2010-11-03, Open: 6150.6, High: 6182.5, Low: 6146.8, SMA20: 6089.01, SMA50: 5912.47, RSI14: 48.81, Return: 0.68%, Output: Up
Date: 2010-11-04, Open: 6209.6, High: 6290.15, Low: 6199.35, SMA20: 6097.08, SMA50: 5928.85, RSI14: 65.35, Return: 1.97%, Output: Down
Date: 2010-11-08, Open: 6335.25, High: 6335.9, Low: 6265.35, SMA20: 6105.57, SMA50: 5944.76, RSI14: 63.91, Return: -0.14%, Output: Up
Date: 2010-11-09, Open: 6281.0, High: 6310.9, Low: 6243.55, SMA20: 6113.86, SMA50: 5962.62, RSI14: 69.9, Return: 0.45%, Output: Down
